date,dataset_name,region_id,region_name,ntl_sum,light_density,density_3m_smooth,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,trend_score,months_seen
2026-01-01,states,ME,Maine,730402.6620187312,4.049413778862512,3.040403460101102,0.43732636405686937,0.14897672731416306,0.43732636405686937,0.14897672731416306,0.27056627253023435,2.8268353138563715,49
2026-01-01,states,VT,Vermont,356390.108258754,7.922044767226517,5.853571934199985,0.4323308230024064,0.16708027636348388,0.3393710064408793,0.11415148214507316,0.2601217873035612,2.5896479313146705,49
2026-01-01,states,NH,New Hampshire,595785.7979249638,11.370702338115276,8.272494360243755,0.42248802411865566,0.17721768154330575,0.29734737008691087,0.1225476826202585,0.22379420970555838,2.469791559823119,49
2026-01-01,states,RI,Rhode Island,360897.85552858375,39.34125635985906,25.582560477875877,0.38524355188029064,0.2308238105047627,0.14501078455563002,0.05836916907087295,0.13222276336764197,2.076494637327455,49
2026-01-01,states,MA,Massachusetts,2158550.442484363,34.29400595318014,23.970267554914766,0.35889120357744053,0.1561693466384852,0.17537741075825594,0.053275977104863335,0.14032363387916033,1.8717576597666723,49
2026-01-01,states,MN,Minnesota,2921140.988541165,7.012090030268437,5.519547602694281,0.32162897171137783,0.10629346612950807,0.23033748130173334,0.029442344983812038,0.19649922665988256,1.7680452619746505,49
2026-01-01,states,CT,Connecticut,832192.2950401269,35.61172509970322,25.890808187861268,0.34085621097035984,0.12760282862578418,0.18644550183777822,0.024991177020313494,0.13365140724587954,1.7664901704577847,49
2026-01-01,states,NY,New York,8057251.151909137,22.81080198285153,17.947363785900126,0.2864913506504377,0.12207196290706165,0.1959836822941284,0.07350153822966504,0.14483161786905008,1.6040457541163011,49
2026-01-01,states,NE,Nebraska,922395.7748344094,3.608377438923634,3.6578704247236096,0.10563834633344911,0.28320118547591233,0.13977159497106037,0.19731754116018596,0.20140746103492835,1.312322008831412,49
2026-01-01,states,MI,Michigan,8425665.319144497,16.41940293550786,12.865149837102985,0.23676773360921924,0.11769982848881815,0.15114696424933918,0.07431618092161187,0.11167805603230725,1.3092678042009527,49
2026-01-01,states,OH,Ohio,4964070.908816623,29.294617539140997,24.664727614229122,0.16522795236490184,0.1705026636515405,0.13406795694784385,0.1573156399253597,0.09222773789977848,1.178172575569627,49
2026-01-01,states,WI,Wisconsin,2469653.058751645,8.122840787239543,6.572427374830782,0.2333462206526314,0.01885609311848017,0.15022494170562142,-0.002735865539501923,0.1456154115582811,1.0250098172759055,49
2026-01-01,states,NJ,New Jersey,3316367.534280034,72.13129437343495,58.91225194529111,0.2075417333515474,0.04860072838748409,0.12858768599332362,0.016825321359342,0.0938804911451403,0.9642421960821742,49
2026-01-01,states,IA,Iowa,1679924.370729389,8.376279020489509,8.066323797514727,0.10419871562741236,0.12546880745223443,0.11033206013237046,0.07567839964869554,0.12441087598559968,0.7942272562972597,49
2026-01-01,states,PA,Pennsylvania,3464418.0552233737,21.710757151857816,18.206854927211904,0.17889652957965824,-0.010249964106287994,0.12242031690637951,0.01485140092001022,0.0992114348503464,0.6944668519369276,49
