date,dataset_name,region_id,region_name,ntl_sum,light_density,density_3m_smooth,mom_pct,yoy_pct,mom_3m_avg,vol_12m,trend_score,trend_label,months_seen,rankable
2026-01-01,cities,816000,Colorado Springs,89999.55283129215,171.55851701196812,160.58067577164368,0.06974158573093052,-0.25856113152234467,0.05655248479725091,0.08367333678547259,-0.9449529911105121,Weak,49,True
2026-01-01,cities,4803000,Amarillo,48801.2909668088,179.1474214759372,175.67052242935196,0.022279164379205144,-0.1465641619780613,0.02451169094310089,0.05091754544125046,-0.7577870551397562,Weak,49,True
2026-01-01,cities,804000,Aurora,66086.62979185581,154.90026556539573,148.73060742550447,0.04441575842861061,-0.1631750505074206,0.034830240885662264,0.04680578093248097,-0.6767481705906068,Weak,49,True
2026-01-01,cities,603526,Bakersfield,45214.73940002918,115.01524416361254,111.34312943658436,-0.0033751661479590168,-0.05459295783881059,-0.015278313908881834,0.014298855017164616,-0.599447366563371,Weak,49,True
2026-01-01,cities,877290,Thornton,15423.212426185608,154.32480489196175,148.61132143351514,0.0431185751387095,-0.14162663445680004,0.03538553472168777,0.03585582644063656,-0.5652421628579244,Weak,49,True
2026-01-01,cities,669000,Santa Ana,25984.105390548702,365.8990609902276,353.4284990868144,-0.008002149766487334,-0.04571980795416986,-0.01296038043757314,0.017093324896826457,-0.5651503760752382,Weak,49,True
2026-01-01,cities,5363000,Seattle,66143.90454852581,255.6169134041208,219.51746298139196,0.03314723194576485,-0.07239730739009617,-0.020984279462714073,0.028415929837239985,-0.5271066273270985,Weak,49,True
2026-01-01,cities,843000,Lakewood,19250.557159781456,166.21447223886307,156.14252036898935,0.07675730621219409,-0.1894290974224631,0.06262082386147054,0.055950444074643946,-0.5058439914702249,Weak,49,True
2026-01-01,cities,4164900,Salem,17266.283723831177,134.56284495770404,133.7055391666796,-0.015837247667407617,-0.009977724088839216,-0.02473732840004426,0.024242638283077544,-0.47382828499223384,Stable,49,True
2026-01-01,cities,643000,Long Beach,45687.23729610443,322.72922938153783,320.74225412719085,-0.00016804700719395816,-0.05160688089245946,0.003995982383009714,0.023631116460017212,-0.47041887001638305,Stable,49,True
2026-01-01,cities,820000,Denver,116563.5958339572,290.88313509326326,278.2876436929669,0.049285647926671936,-0.13420535565897918,0.04101561577506097,0.04011744777005959,-0.4642711829501226,Stable,49,True
2026-01-01,cities,107000,Birmingham,60319.5334687829,155.37620879590676,150.59199693547112,0.013196215632271531,-0.046648617525412925,-0.005895535852139929,0.030626319828316453,-0.4211027673917279,Stable,49,True
2026-01-01,cities,636000,Huntington Beach,14124.956657886503,201.56859294833745,200.40787732108183,-0.0027231921112655494,-0.024901673611551444,-0.007193530877412868,0.017468658977500297,-0.39632951673415445,Stable,49,True
2026-01-01,cities,5103000,Arlington,20438.77777862549,303.28589580482264,278.4613767848522,0.05928989829429349,-0.1302748980841385,0.04105186815743186,0.06120597858707645,-0.38921273857072575,Stable,49,True
2026-01-01,cities,664000,Sacramento,49751.08814120293,190.6761348218349,186.59564503065917,-0.0006645216618223972,-0.0259402079515464,-0.004722473516211156,0.02046647614532309,-0.37856544119280944,Stable,49,True
2026-01-01,cities,653322,Oceanside,11270.193512439728,103.54800058653852,107.20326105959721,-0.009903804691778378,-0.004576963307142502,-0.014330804650467632,0.033598105663095054,-0.36123418161281595,Stable,49,True
2026-01-01,cities,682954,Visalia,15753.8051430583,157.8913710880766,160.22056140733886,-0.011581544557982177,-0.011988486248822058,-0.004234312243641957,0.01669551947772484,-0.3598935990721936,Stable,49,True
2026-01-01,cities,2965000,St. Louis,83048.53666090965,484.5521829286896,462.4285958770517,0.04825363079632985,-0.0975699211469591,0.023873486073634684,0.03900153766382397,-0.35824062722283634,Stable,49,True
2026-01-01,cities,629000,Garden Grove,11386.360816955566,245.02878537521684,245.16802377321974,-0.0018539786602756992,-0.02099671039228853,-0.004376486193830986,0.013483654014662927,-0.35669208370007016,Stable,49,True
2026-01-01,cities,427400,Gilbert,39995.545196056366,223.54147926477896,222.8556446561458,0.006731108495493928,-0.02521770962597099,-0.005575243783730995,0.011820744591901227,-0.3391719205818044,Stable,49,True
